Скор;Название;Категории;Сайт;Детали;Рейтинг;Отзывов;Телефоны;Почта;Адрес;Режим;Соцсети;Ссылки;Филиалов;Фото;Карточка 2ГИС;Широта;Долгота;ID
86;808` BARBERSHOP;Барбершопы;нет нормального сайта;только соцсети: telegram, whatsapp;4.9;410;+78432538077, +79033888077;808kzn@gmail.com;улица Петра Полушкина, 6;"Пн: 11:00–21:00; Вт: 11:00–21:00; Ср: 11:00–21:00; Чт: 11:00–21:00; Пт: 11:00–21:00; Сб: 11:00–21:00; Вс: 11:00–21:00";https://t.me/barbershop808, https://wa.me/79033888077;;3;18;https://2gis.ru/firm/70000001081590128;55.785617;49.215634;70000001081590128_ihtBcA427B649A3A36932243BAAc7sh8tvjG51273G6G1J3H8G4339CAt5473G6C58091G3011013GJHGI3Hcuuvwpq5A2J19739H34J2G2GGG1He
85;Mab;Барбершопы;нет нормального сайта;только соцсети: max, whatsapp;5;392;+79968467132, +79966050997;muhammet95@inbox.ru;улица Хусаина Мавлютова, 42;"Пн: 09:00–21:00; Вт: 09:00–21:00; Ср: 09:00–21:00; Чт: 09:00–21:00; Пт: 09:00–21:00; Сб: 09:00–21:00; Вс: 09:00–21:00";https://wa.me/79968467132, https://max.ru/u/f9LHodD0cOJojpCxIbjbDLS7qCIkNnE5E4JQUBf5v3p_0W8LDCUU6dYE5Jg;;2;134;https://2gis.ru/firm/70000001061392976;55.748239;49.187772;70000001061392976_ihtBcA427B649A383495A243BAAb7sh8tvjG51273G6G1J3H8G4339CAt5473G6C58091G3011013GJHGI3Hcuuvwpq5A2J19787H2AJ2G2GGG1H9
85;Crop;Барбершопы;нет нормального сайта;только соцсети: telegram, vkontakte, whatsapp;4.9;373;+79393013261;khalilov.aflatun@inbox.ru;улица Юлиуса Фучика, 50;"Пн: 09:00–21:00; Вт: 09:00–21:00; Ср: 09:00–21:00; Чт: 09:00–21:00; Пт: 09:00–21:00; Сб: 09:00–21:00; Вс: 09:00–21:00";https://wa.me/79393013261, https://t.me/Crop_kzn, https://vk.com/crop_kzn;;2;72;https://2gis.ru/firm/70000001044713313;55.748542;49.224712;70000001044713313_ihtBcA427B649A3668164243BAAd7sh8tvjG51273G6G1J3H8G4339CAt5473G6C58091G3011013GJHGI3Hcuuvwpq5A2J19724H36J2G2GGG1H5
85;Rafi;Барбершопы;нет нормального сайта;только соцсети: telegram, vkontakte, whatsapp;5;312;+79534943767;;Даурская улица, 11;"Пн: 10:00–21:00; Вт: 10:00–21:00; Ср: 10:00–21:00; Чт: 10:00–21:00; Пт: 10:00–21:00; Сб: 10:00–21:00; Вс: 10:00–21:00";https://vk.com/rafi_kazan, https://wa.me/79534943767, https://t.me/+79534943767;;1;101;https://2gis.ru/firm/70000001040738099;55.764966;49.171654;70000001040738099_ihtBcA427B649A36283B1243BAA67sh8tvjG51273G6G1J3H8G4339CAt5473G6C58091G3011013GJHGI2Hcuuvwpq5A2J197AAH43J1G2GGG1H9
84;База13;Барбершопы;нет нормального сайта;только соцсети: max, telegram, vkontakte, whatsapp;4.9;299;+79991699913;ainur.sha@icloud.com;улица Юлиуса Фучика, 30;"Пн: 10:00–22:00; Вт: 10:00–22:00; Ср: 10:00–22:00; Чт: 10:00–22:00; Пт: 10:00–22:00; Сб: 10:00–22:00; Вс: 10:00–22:00";https://vk.com/id710699589, https://wa.me/79991699913, https://t.me/baza13_barbershop, https://max.ru/u/f9LHodD0cOJVRD0cR_5_9NwiRNKZXnBG66wm0WmckvlOvg__x5k0BwipKTs;;2;34;https://2gis.ru/firm/70000001035069523;55.743848;49.216031;70000001035069523_ihtBcA427B649A35716C623CB92e7sh8tvjG51273G6G1J3H8142C9BIt5473G6C58091G3011013GJHG3I2cuuvwpq5A2J19734HAJ4H2GGG0HH
84;Barberboss;Барбершопы;нет нормального сайта;только соцсети: max, telegram, vkontakte, whatsapp;4.9;221;+79297232223;;улица Юлиуса Фучика, 88а;"Пн: 09:00–22:00; Вт: 09:00–22:00; Ср: 09:00–22:00; Чт: 09:00–22:00; Пт: 09:00–22:00; Сб: 09:00–22:00; Вс: 09:00–22:00";https://vk.com/id774868096, https://wa.me/79297232223, https://t.me/+79297232223, https://max.ru/u/f9LHodD0cOJF4lhnQEbhMpliH5c0xI1myTNhWQY6LuN1DPUyPwL1BxZlLdU;;1;86;https://2gis.ru/firm/70000001069039178;55.76296;49.232601;70000001069039178_ihtBcA427B649A38B13C2243BAA47sh8tvjG51273G6G1J3H8G4339CAt5473G6C58091G3011013GJHGI3Hcuuvwpq5A2J19789H27J2G2GGG1H4
82;Барберлаб Контур;Барбершопы;нет нормального сайта;конструктор: taplink.cc;5;441;+79050222509, +79520433653;;2-я Юго-Западная улица, 7;"Пн: 10:00–21:00; Вт: 10:00–21:00; Ср: 10:00–21:00; Чт: 10:00–21:00; Пт: 10:00–21:00; Сб: 10:00–21:00; Вс: 10:00–21:00";https://t.me/+79050222509, https://wa.me/79050222509;http://taplink.cc/barbershop_kontur;2;173;https://2gis.ru/firm/70000001061395635;55.818971;49.085948;70000001061395635_s3bg3m327B649A3834987H442AB9f0pf69yG51273G6G2J3H80J340CBt5473G6C58093G3011013GJHGII12euvwpq5A4J19746H26AH8G2GGH11g
82;Пошел На Лево;Барбершопы;нет нормального сайта;только соцсети: max, telegram, whatsapp;4.9;422;+79124403605;;проезд Яраткан, 3;"Пн: 10:00–22:00; Вт: 10:00–22:00; Ср: 10:00–22:00; Чт: 10:00–22:00; Пт: 10:00–22:00; Сб: 10:00–22:00; Вс: 10:00–22:00";https://wa.me/79124403605, https://t.me/posholnalevo, https://max.ru/u/f9LHodD0cOKuMXU4iULaXUBn91K9whFholu8VGtC3M7XcjUvvydrYQi18h0;;3;154;https://2gis.ru/firm/70000001080142448;55.762169;49.201334;70000001080142448_s3bg3m327B649A3A22455H442AB9f0pf69yG51273G6G2J3H80J340CBt5473G6C58093G3011013GJHGII12euvwpq5A4J19759H248H8G2GGH16e
82;Prime Time;Барбершопы, Парикмахерские услуги, Детские парикмахерские, Визажисты;нет нормального сайта;вместо сайта каталог/соцсеть: t.me;5;128;+79934077792;;Рождественская улица, 10д;"Пн: 09:00–21:00; Вт: 09:00–21:00; Ср: 09:00–21:00; Чт: 09:00–21:00; Пт: 09:00–21:00; Сб: 09:00–21:00; Вс: 09:00–21:00";https://wa.me/79934077792, https://t.me/+79934077792, https://max.ru/u/f9LHodD0cOKms8-eWc-CryCsVceavs8SRgC-eu-6_Ura8IeGCnFa5jgbwug;http://t.me/image_studio_prime;1;59;https://2gis.ru/firm/70000001100082269;55.896736;49.329186;70000001100082269_ihtBcA427B649A4221853243BAA47sh8tvjG51273G6G1J3H8G4339CAt5473G6C58091G3011013GJHGI3Hcuuvwpq5A2J1977AH37J2G2GGG1H5
82;MK;Барбершопы;нет нормального сайта;только соцсети: whatsapp;5;127;+79872071919;;улица Павлюхина, 104;"Пн: 10:00–20:00; Вт: 10:00–20:00; Ср: 10:00–20:00; Чт: 10:00–20:00; Пт: 10:00–20:00; Сб: 10:00–20:00; Вс: 10:00–20:00";https://wa.me/79872071919;;1;61;https://2gis.ru/firm/70000001054151391;55.770522;49.143382;70000001054151391_s3bg3m327B649A3762544H442AB9f0pf69yG51273G6G2J3H80J340CBt5473G6C58093G3011013GJHGII12euvwpq5A4J197A2H27BH8G2GGH169
